Wavelength,Absorbance,Std
512,0.4331197739,0.0001429334792
513,0.4528374672,0.0002112383229
514,0.4715881348,0.0002134612015
515,0.4906406403,0.0002178389211
516,0.5081644058,0.0002896659165
517,0.52520895,0.0002175799123
518,0.5412502289,0.0001736787301
519,0.5556693077,0.0002866802735
520,0.5683717728,0.0003803044642
521,0.5799789429,0.0002406398297
522,0.5899028778,0.0002897600954
523,0.598297596,0.0003955162306
524,0.6060590744,0.0003639988848
525,0.6125478745,0.0003790972366
526,0.618388176,0.0003556271858
527,0.6242446899,0.0003762266331
528,0.6298189163,0.0004016225894
529,0.6370511055,0.0005787915346
530,0.6450619698,0.0005066084572
531,0.6536245346,0.0004198940401
532,0.6666054726,0.0003714974617
533,0.682554245,0.0004289541842
534,0.6985974312,0.0003783864347
535,0.7187852859,0.0003499971748
536,0.7414188385,0.0003820986332
537,0.7698011398,0.0006917341083
538,0.7995557785,0.0006589275337
539,0.8314666748,0.0005339758674
540,0.8654909134,0.0003797013302
541,0.9002037048,0.0006058046732
542,0.9394397736,0.0006738422745
543,0.9780807495,0.0005507714815
544,1.017971992,0.0006414478958
545,1.058037758,0.0006880322335
546,1.098957539,0.0005056021112
547,1.14277029,0.0008025927233
548,1.183336258,0.0009085068144
549,1.22023201,0.0008697509766
550,1.258835316,0.0007867714852
551,1.29024744,0.0007928882908
552,1.326687813,0.0009121993294
553,1.352600098,0.00113121051
554,1.377384663,0.001125174042
555,1.392016888,0.001873261073
556,1.407117367,0.00129692975
557,1.406571865,0.002164059973
558,1.403909206,0.002067439227
559,1.387297153,0.001496489741
560,1.367339134,0.001446288527
561,1.331854343,0.001449504649
562,1.287928581,0.0009829787237
563,1.22926569,0.0005629748784
564,1.157294273,0.0008772310876
565,1.081088543,0.0006180986834
566,0.9952583313,0.0005002201339
567,0.9017543793,0.0005594224601
568,0.8125104904,0.0003707917139
569,0.7191634178,0.0003266748694
570,0.6338877678,0.0002104791841
571,0.5539603233,0.0001657638499
572,0.4842805862,0.0001196623775
573,0.4110832214,0.0001096787658
574,0.3510150909,0.00007722259634
575,0.3025174141,0.00007728881679
576,0.2539858818,0.0000762507197
577,0.2120256424,0.0000778092466
578,0.1803712845,0.00009727244281
579,0.1532864571,0.0001122969224
580,0.1254444122,0.00009802222593
581,0.1026539803,0.00008770952591
582,0.08805894852,0.0001002492716
583,0.07620239258,0.0001189018099
584,0.05988359451,0.000126155649
585,0.04851770401,0.0001028642861
586,0.04173469543,0.00006576032188
587,0.03300714493,0.00009783648087
588,0.02732563019,0.0001169972222
589,0.02290678024,0.000101235572
590,0.01821279526,0.00008495466559
591,0.01481771469,0.0001076702104
592,0.01083707809,0.00011527828
593,0.008444786072,0.0001004645084
594,0.007030487061,0.00007189654468
595,0.004776477814,0.00008338926259
596,0.003936290741,0.00008405058058
597,0.002498626709,0.00009777603775
598,0.001455307007,0.00009150801997
599,0.0001673698425,0.00009626679731
600,-0.0001993179321,0.00008926921405
601,-0.0007095336914,0.00006932694102
602,-0.001214027405,0.00006090649813
603,-0.001949310303,0.00007586807361
604,-0.001954555511,0.00009938595076
605,-0.0023188591,0.00006811431456
606,-0.00275182724,0.00008460198537
607,-0.003026008606,0.0000951024188
608,-0.002946376801,0.0001228797422
609,-0.003327846527,0.00009673332538
610,-0.003581523895,0.0000761313494
611,-0.003517150879,0.00009457497367
612,-0.003722190857,0.0001164908395
613,-0.003670215607,0.0001171157103
614,-0.003893375397,0.0001375772301
615,-0.004143238068,0.00009088221022
616,-0.003956317902,0.00007429178015
617,-0.004220962524,0.0001027736188
618,-0.004315853119,0.0001207274092
619,-0.00403547287,0.00009823308397
620,-0.004241943359,0.00009657100327
621,-0.004137039185,0.00008090649382
622,-0.004523277283,0.00007969887701
623,-0.004751205444,0.00009647206478
624,-0.005203723907,0.00009990620403
625,-0.00491476059,0.0001394127031
626,-0.005219459534,0.0001727598858
627,-0.00476026535,0.0001011546842
628,-0.004332542419,0.0001394420569
629,-0.003790378571,0.0001660187849
630,-0.00359582901,0.0001305384722
631,-0.004008293152,0.00008921825839
632,-0.004479885101,0.00009157011741
633,-0.005073070526,0.00008824451052
634,-0.004586696625,0.0001274716923
635,-0.004494190216,0.0001511145029
636,-0.004597187042,0.0001545629235
637,-0.004856586456,0.000106549367
638,-0.00484418869,0.0001033362342
639,-0.004903316498,0.0001307820988
640,-0.004759788513,0.0001555103344
641,-0.004545211792,0.0001745406386
642,-0.004831314087,0.0001825732204
643,-0.004796028137,0.000297943486
644,-0.004885673523,0.0003353301164
645,-0.004866600037,0.0002132309995
646,-0.004177570343,0.0001742694669
647,-0.004969596863,0.0001490449868
648,-0.004561901093,0.0001746760666
649,-0.004712104797,0.0001973115055
650,-0.004486560822,0.0002571739775
651,-0.004490852356,0.0002255555688
652,-0.004627227783,0.0002563521975
653,-0.004366874695,0.0002331533794
654,-0.005113124847,0.0001801662174
655,-0.002699375153,0.0000971742185
656,-0.006345748901,0.0002243912781
657,-0.00400352478,0.0004423650981
658,-0.004249095917,0.0002420868018
659,-0.005176544189,0.0001857340411
660,-0.005143642426,0.0002125217798
661,-0.004890918732,0.0002149938132
662,-0.004875183105,0.0001716454816
663,-0.004683494568,0.0001850029854
664,-0.004867076874,0.0002051131539
665,-0.005062103271,0.0001913870153
666,-0.004757404327,0.0001809017368
667,-0.004720687866,0.0002169519989
668,-0.004985809326,0.0002696791322
669,-0.005136013031,0.0001954031898
670,-0.005150794983,0.0002048602536
671,-0.004887104034,0.0001261592536
672,-0.005008220673,0.0001203935923
673,-0.005126476288,0.000137762208
674,-0.004854202271,0.0001555980365
675,-0.004995346069,0.0001181709848
676,-0.005097866058,0.0001015248908
677,-0.004918575287,0.00008247766741
678,-0.004872322083,0.00007850599242
679,-0.005188941956,0.0001043325804
680,-0.005270957947,0.0001420110401
681,-0.004796504974,0.00015135205
682,-0.004965305328,0.0001119339047
683,-0.004806041718,0.0001135913788
684,-0.005033016205,0.00009793636263
685,-0.004939556122,0.0001086623898
686,-0.005093097687,0.0001575613131
687,-0.005004882813,0.0001081674378
688,-0.005174160004,0.0001061238564
689,-0.005166530609,0.000162460876
690,-0.004933357239,0.0001428666515
691,-0.005106925964,0.00007914635025
692,-0.005073547363,0.0001085514318
693,-0.005074977875,0.0001139551024
694,-0.005066871643,0.0001399466288
695,-0.005017757416,0.0001592721765
696,-0.004885673523,0.0001334121858
697,-0.005021572113,0.0001115289392
698,-0.005267620087,0.0001553699082
699,-0.005113124847,0.0001190164914
700,-0.005229473114,0.0001644030521
701,-0.005256652832,0.000105012491
702,-0.004996776581,0.0001079170036
703,-0.005167007446,0.0001398426082
704,-0.005258083344,0.0001704944579
705,-0.00520324707,0.0001330025261
706,-0.005071640015,0.0001030564136
707,-0.004983901978,0.0001437108405
708,-0.004939556122,0.0001383288077
709,-0.00511264801,0.0001275002286
710,-0.005106449127,0.0001588032402
711,-0.005130290985,0.0001388013914
712,-0.005229473114,0.0001523015196
713,-0.005013465881,0.0001218185959
714,-0.00514125824,0.0001560328929
715,-0.005217075348,0.0001388701755
716,-0.005333900452,0.0001436507058
717,-0.005333900452,0.00009604688834
718,-0.00517988205,0.00009830249847
719,-0.005242824554,0.0001318659516
720,-0.005271911621,0.0000825121201
721,-0.005256175995,0.00008905245113
722,-0.005193710327,0.0001184381338
723,-0.005500793457,0.0001295137475
724,-0.00545835495,0.0001365686928
725,-0.005166530609,0.0001158979174
726,-0.005350112915,0.0001457780958
727,-0.005274772644,0.0001688596115
728,-0.005057811737,0.0001375243336
729,-0.005134105682,0.0001159351864
730,-0.005250930786,0.0001621021928
731,-0.005111694336,0.0001044284263
732,-0.005262851715,0.00009954139857
733,-0.005003929138,0.000119569235
734,-0.005373001099,0.0000997627211
735,-0.00536441803,0.0001427074117
736,-0.005361557007,0.0001455095758
737,-0.005307197571,0.0001114494017
738,-0.005467414856,0.0001058621449
739,-0.005038738251,0.0001270750897
740,-0.005565166473,0.0001050557862
741,-0.005601406097,0.0001039023682
742,-0.005391120911,0.00007207658244
743,-0.005510807037,0.00009787133492
744,-0.005418777466,0.0001403198161
745,-0.005702495575,0.0001040947639
746,-0.005517482758,0.0001504630922
747,-0.005603313446,0.0001070900249
748,-0.005608558655,0.0001113595989
749,-0.005336761475,0.0001063827868
750,-0.005442619324,0.00009303336138
751,-0.005565166473,0.00009935162806
752,-0.00554561615,0.0001190947936
753,-0.005516052246,0.00011225642
754,-0.005288124084,0.0001057202932
755,-0.005722522736,0.0001020164098
756,-0.005483150482,0.0001058664404
757,-0.005293369293,0.0001135172924
758,-0.005523204803,0.0001093465687
759,-0.005613327026,0.00009116946901
760,-0.00558423996,0.0001182998298
761,-0.005385875702,0.0001335756979
762,-0.006003379822,0.00009847812958
763,-0.00536108017,0.0001233672742
764,-0.005320549011,0.000108469711
765,-0.005483627319,0.0001004622452
766,-0.005977630615,0.0001080286132
767,-0.00571680069,0.0001064212515
768,-0.005127906799,0.0001267956539
769,-0.005443096161,0.00009309932603
770,-0.005585193634,0.00009294533568
771,-0.005656242371,0.0001181632881
772,-0.00580406189,0.0001424203316
773,-0.005496501923,0.0001057589989
774,-0.005770206451,0.0001009949656
775,-0.00589132309,0.00008754865275
776,-0.005540370941,0.00008577371402
777,-0.005548477173,0.00009393086874
778,-0.005486965179,0.0001274217384
779,-0.005418777466,0.0001017195481
780,-0.005589962006,0.0001405950136
781,-0.005287647247,0.0001270500373
782,-0.005472660065,0.00009189729622
783,-0.005603790283,0.0001023057429
784,-0.005696773529,0.00009391876471
785,-0.005757808685,0.0001201232209
786,-0.005352020264,0.0001605631864
787,-0.005559444427,0.0001370971098
788,-0.005315303802,0.0001059973717
