Wavelength,Absorbance,Std,,
460,0.05876970291,0.0002653134975,,
461,0.0603313446,0.0002598618145,,
462,0.06162691116,0.0002468156298,,
463,0.06414318085,0.0001975188212,,
464,0.06694221497,0.000210098586,,
465,0.06853199005,0.0002143795379,,
466,0.07054185867,0.0001788895765,,
467,0.07263088226,0.0002047892079,,
468,0.07643222809,0.000245352064,,
469,0.07864809036,0.0003142324311,,
470,0.08171510696,0.0003802279287,,
471,0.08565616608,0.0002920486486,,
472,0.08972406387,0.0002703797036,,
473,0.09443330765,0.0002860323503,,
474,0.09725141525,0.0002598688142,,
475,0.1021184921,0.0002629859599,,
476,0.1067152023,0.0002796201719,,
477,0.1113090515,0.0002976625167,,
478,0.116194725,0.0002573648774,,
479,0.1211700439,0.0002630689469,,
480,0.1266994476,0.0002716415361,,
481,0.1320652962,0.0002237215064,,
482,0.1371445656,0.0002194404395,,
483,0.1427612305,0.0002102500428,,
484,0.1488032341,0.0002035597667,,
485,0.1543631554,0.0002470734393,,
486,0.1672224998,0.0001763291975,,
487,0.1575837135,0.0001867741384,,
488,0.1694350243,0.0002065360029,,
489,0.1768298149,0.0003087490222,,
490,0.1835284233,0.0003700158029,,
491,0.189221859,0.0003557396953,,
492,0.1964578629,0.0002799127535,,
493,0.2039012909,0.0002215153678,,
494,0.2114639282,0.0002122734216,,
495,0.2193770409,0.0001895678102,,
496,0.229973793,0.0002726908264,,
497,0.2383704185,0.000341122251,,
498,0.249484539,0.0002408966977,,
499,0.2625393867,0.0002554992989,,
500,0.2731208801,0.0002889869227,,
501,0.2872991562,0.000210487826,,
502,0.3016147614,0.0002569333833,,
503,0.3167762756,0.00020679565,,
504,0.3327798843,0.0002686451629,,
505,0.3499917984,0.0001883355871,,
506,0.3682146072,0.0002463804261,,
507,0.3861579895,0.0002316820198,,
508,0.4062514305,0.0002704066124,,
509,0.4253077507,0.0003017772746,,
510,0.4459228516,0.0002035552987,,
511,0.4663462639,0.0002270666304,,
512,0.4868664742,0.0002412249386,,
513,0.5067081451,0.0001974174941,,
514,0.5268902779,0.000262064427,,
515,0.5461249352,0.0001922026425,,
516,0.5654377937,0.0002817135206,,
517,0.5831446648,0.0004816650127,,
518,0.5986003876,0.0003500907111,,
519,0.6144399643,0.0004091340622,,
520,0.6273002625,0.0004892339948,,
521,0.6392560005,0.0003933395006,,
